ID,Team,Games,Event,Medal
5540,United States,1952 Summer,Athletics Mens 3000 metres Steeplechase,Gold
5542,Great Britain,2016 Summer,Athletics Womens 4 x 100 metres Relay,Bronze
5547,United States,1984 Summer,Athletics Womens 100 metres,Gold
5547,United States,1984 Summer,Athletics Womens 4 x 100 metres Relay,Gold
5547,United States,1988 Summer,Athletics Womens 100 metres,Silver
5547,United States,1988 Summer,Athletics Womens 4 x 100 metres Relay,Gold
5547,United States,1992 Summer,Athletics Womens 4 x 100 metres Relay,Gold
5561,Jamaica,2016 Summer,Athletics Mens 4 x 100 metres Relay,Gold
5575,Soviet Union,1972 Summer,Wrestling Mens Lightweight Freestyle,Bronze
5577,Australia,2016 Summer,Swimming Womens 4 x 200 metres Freestyle Relay,Silver
5578,United States,1964 Summer,Athletics Mens 4 x 100 metres Relay,Gold
5579,United States,1960 Winter,Speed Skating Womens 500 metres,Bronze
5584,Finland,1912 Summer,Wrestling Mens Middleweight A Greco-Roman,Bronze
5588,Greece,2004 Summer,Water Polo Womens Water Polo,Silver
5591,Italy,1920 Summer,Equestrianism Mens Jumping Team,Bronze
