ID,Team,Games,Event,Medal
1374,Indonesia-1,2016 Summer,Badminton Mixed Doubles,Gold
1378,Sweden,1948 Summer,Athletics Mens Triple Jump,Gold
1379,Germany-1,2000 Summer,Beach Volleyball Mens Beach Volleyball,Bronze
1380,United States,1992 Summer,Swimming Womens 4 x 100 metres Freestyle Relay,Gold
1380,United States,1992 Summer,Swimming Womens 100 metres Butterfly,Silver
1380,United States,1992 Summer,Swimming Womens 4 x 100 metres Medley Relay,Gold
1386,Pakistan,1992 Summer,Hockey Mens Hockey,Bronze
1389,Pakistan,1968 Summer,Hockey Mens Hockey,Gold
1391,Pakistan,1960 Summer,Hockey Mens Hockey,Gold
1400,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
1402,Pakistan,1992 Summer,Hockey Mens Hockey,Bronze
1408,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
1409,Pakistan,1960 Summer,Hockey Mens Hockey,Gold
1412,Pakistan,1968 Summer,Hockey Mens Hockey,Gold
1412,Pakistan,1972 Summer,Hockey Mens Hockey,Silver
1414,Pakistan,1992 Summer,Hockey Mens Hockey,Bronze
1435,Finland,2002 Winter,Ski Jumping Mens Large Hill Team,Silver
1435,Finland,2006 Winter,Ski Jumping Mens Large Hill Team,Silver
1443,East Germany,1976 Summer,Rowing Womens Coxed Eights,Gold
1444,United States,2004 Summer,Rowing Mens Coxed Eights,Gold
1447,Chile,1956 Summer,Athletics Womens Javelin Throw,Silver
1449,Germany,1964 Summer,Rowing Mens Coxed Eights,Silver
1466,Italy,2012 Summer,Water Polo Mens Water Polo,Silver
1466,Italy,2016 Summer,Water Polo Mens Water Polo,Bronze
1467,Argentina,2000 Summer,Hockey Womens Hockey,Silver
1467,Argentina,2004 Summer,Hockey Womens Hockey,Bronze
1467,Argentina,2008 Summer,Hockey Womens Hockey,Bronze
1469,Switzerland-1,1936 Winter,Bobsleigh Mens Four,Silver
1478,Italy,2016 Summer,Water Polo Womens Water Polo,Silver
1480,Austria,1924 Summer,Weightlifting Mens Heavyweight,Silver
1481,Germany,2012 Summer,Canoeing Mens Kayak Singles Slalom,Bronze
1483,Japan,1956 Summer,Gymnastics Mens Team All-Around,Silver
1483,Japan,1956 Summer,Gymnastics Mens Floor Exercise,Silver
1483,Japan,1960 Summer,Gymnastics Mens Team All-Around,Gold
1483,Japan,1960 Summer,Gymnastics Mens Floor Exercise,Gold
1485,Japan,1992 Summer,Gymnastics Mens Team All-Around,Bronze
1487,Japan,2004 Summer,Baseball Mens Baseball,Bronze
1489,Australia,1956 Summer,Rowing Mens Coxed Eights,Bronze
1500,United States,2000 Summer,Baseball Mens Baseball,Gold
1503,Great Britain,1920 Summer,Athletics Mens 4 x 400 metres Relay,Gold
1530,Canada,1936 Summer,Basketball Mens Basketball,Silver
1531,Great Britain-1,1912 Summer,Tennis Mixed Doubles Covered Courts,Silver
1534,Australia,1992 Summer,Cycling Mens Team Pursuit 4000 metres,Silver
1534,Australia,1996 Summer,Cycling Mens Team Pursuit 4000 metres,Bronze
1534,Australia,2000 Summer,Cycling Mens Madison,Gold
1540,Ukraine,2008 Summer,Shooting Mens Small-Bore Rifle Prone 50 metres,Gold
1546,Greece,2000 Summer,Rhythmic Gymnastics Womens Group,Bronze
1551,Nigeria,2016 Summer,Football Mens Football,Bronze
1554,Cuba,1992 Summer,Baseball Mens Baseball,Gold
1554,Cuba,1996 Summer,Baseball Mens Baseball,Gold
1554,Cuba,2000 Summer,Baseball Mens Baseball,Silver
1556,Nigeria,2008 Summer,Football Mens Football,Silver
1561,Canada,2016 Summer,Athletics Mens 4 x 100 metres Relay,Bronze
1564,Nigeria,1996 Summer,Athletics Womens Long Jump,Gold
1569,Great Britain,1984 Summer,Athletics Mens 4 x 400 metres Relay,Silver
1569,Great Britain,1992 Summer,Athletics Mens 400 metres Hurdles,Bronze
1569,Great Britain,1992 Summer,Athletics Mens 4 x 400 metres Relay,Bronze
1574,Japan,1984 Summer,Wrestling Mens Featherweight Freestyle,Silver
1574,Japan,1992 Summer,Wrestling Mens Lightweight Freestyle,Bronze
1579,Turkey,1948 Summer,Wrestling Mens Bantamweight Freestyle,Gold
1581,Japan,1992 Winter,Short Track Speed Skating Mens 5000 metres Relay,Bronze
1595,Turkey,1956 Summer,Wrestling Mens Flyweight Freestyle,Bronze
1595,Turkey,1964 Summer,Wrestling Mens Bantamweight Freestyle,Silver
1601,Turkey,1972 Summer,Wrestling Mens Featherweight Freestyle,Silver
1618,Sweden,1948 Summer,Canoeing Mens Kayak Doubles 10000 metres,Gold
1618,Sweden,1952 Summer,Canoeing Mens Kayak Doubles 10000 metres,Silver
1622,United States,1996 Summer,Football Womens Football,Gold
1634,Turkey,2016 Summer,Wrestling Mens Super-Heavyweight Freestyle,Gold
1637,Soviet Union,1980 Summer,Volleyball Womens Volleyball,Gold
1639,Russia,1998 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Silver
1639,Russia,2002 Winter,Biathlon Womens 4 x 7.5 kilometres Relay,Bronze
1639,Russia,2006 Winter,Biathlon Womens 10 kilometres Pursuit,Bronze
1639,Russia,2006 Winter,Biathlon Womens 15 kilometres,Bronze
1639,Russia,2006 Winter,Biathlon Womens 4 x 6 kilometres Relay,Gold
1647,Uzbekistan,2016 Summer,Boxing Mens Bantamweight,Bronze
1649,Russia,2016 Summer,Fencing Mens Foil Team,Gold
1650,Russia,2008 Summer,Wrestling Mens Super-Heavyweight Freestyle,Silver
1652,Bulgaria,1964 Summer,Wrestling Mens Heavyweight Freestyle,Silver
1654,Soviet Union,1980 Summer,Hockey Womens Hockey,Bronze
1659,Soviet Union,1960 Summer,Rowing Mens Coxless Fours,Bronze
1662,Pakistan,1968 Summer,Hockey Mens Hockey,Gold
1665,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
1673,Uganda,1972 Summer,Athletics Mens 400 metres Hurdles,Gold
1676,Soviet Union,1972 Summer,Water Polo Mens Water Polo,Gold
1678,Soviet Union,1980 Summer,Water Polo Mens Water Polo,Gold
1682,United States,2016 Summer,Athletics Womens 4 x 100 metres Relay,Gold
1683,United States,2012 Summer,Volleyball Womens Volleyball,Silver
1683,United States,2016 Summer,Volleyball Womens Volleyball,Bronze
1698,Russia,2004 Summer,Weightlifting Mens Middle-Heavyweight,Silver
1698,Russia,2008 Summer,Weightlifting Mens Middle-Heavyweight,Bronze
1700,Russia,2000 Summer,Water Polo Womens Water Polo,Bronze
1713,Unified Team,1992 Summer,Weightlifting Mens Heavyweight II,Silver
1716,Nigeria,2016 Summer,Football Mens Football,Bronze
1730,United States,2016 Summer,Fencing Womens Sabre Team,Bronze
1732,Soviet Union,1976 Summer,Athletics Womens 4 x 400 metres Relay,Bronze
1734,Soviet Union,1976 Summer,Athletics Mens 4 x 100 metres Relay,Bronze
1734,Soviet Union,1980 Summer,Athletics Mens 4 x 100 metres Relay,Gold
1740,Russia,1996 Summer,Rowing Mens Coxed Eights,Bronze
1742,Soviet Union,1980 Summer,Swimming Womens 4 x 100 metres Medley Relay,Bronze
1762,Syria,2004 Summer,Boxing Mens Heavyweight,Bronze
1809,Qatar,2012 Summer,Shooting Mens Skeet,Bronze
1858,Kuwait,2000 Summer,Shooting Mens Double Trap,Bronze
1858,Kuwait,2012 Summer,Shooting Mens Trap,Bronze
1858,Individual Olympic Athletes,2016 Summer,Shooting Mens Double Trap,Gold
1885,Saudi Arabia,2012 Summer,Equestrianism Mixed Jumping Team,Bronze
1889,Saudi Arabia,2000 Summer,Equestrianism Mixed Jumping Individual,Bronze
1949,Pakistan,1984 Summer,Hockey Mens Hockey,Gold
2025,United Arab Emirates,2004 Summer,Shooting Mens Double Trap,Gold
2112,Individual Olympic Athletes,2016 Summer,Shooting Mens Skeet,Bronze
2134,Saudi Arabia,2012 Summer,Equestrianism Mixed Jumping Team,Bronze
2170,Saudi Arabia,2000 Summer,Athletics Mens 400 metres Hurdles,Silver
2212,Soviet Union,1964 Summer,Basketball Mens Basketball,Silver
2225,Soviet Union,1972 Summer,Wrestling Mens Flyweight Freestyle,Silver
2233,Pakistan,1956 Summer,Hockey Mens Hockey,Silver
2233,Pakistan,1960 Summer,Hockey Mens Hockey,Gold
2256,Croatia,1992 Summer,Basketball Mens Basketball,Silver
2274,Finland,1994 Winter,Ice Hockey Mens Ice Hockey,Bronze
2275,Finland,1960 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
2296,Italy,1992 Winter,Cross Country Skiing Mens 10 kilometres,Silver
2296,Italy,1992 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Silver
2296,Italy,1994 Winter,Cross Country Skiing Mens 10 kilometres,Bronze
2296,Italy,1994 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Gold
2296,Italy,1998 Winter,Cross Country Skiing Mens 4 x 10 kilometres Relay,Silver
2302,France-3,1920 Summer,Tennis Mens Doubles,Bronze
2306,Russia,2012 Summer,Weightlifting Mens Super-Heavyweight,Bronze
2307,Spain,2000 Summer,Football Mens Football,Silver
2311,West Germany,1984 Summer,Cycling Mens Team Pursuit 4000 metres,Bronze
2313,Italy,1976 Summer,Water Polo Mens Water Polo,Silver
2322,Hungary,1960 Summer,Football Mens Football,Bronze
2342,Spain,2012 Summer,Handball Womens Handball,Bronze
2347,Denmark,1920 Summer,Gymnastics Mens Team All-Around Free System,Gold
2349,Sweden,1948 Summer,Athletics Mens 10000 metres,Bronze
2355,Italy,1968 Summer,Rowing Mens Coxless Fours,Bronze
2359,Russia,2008 Summer,Wrestling Mens Lightweight Greco-Roman,Gold
2367,Switzerland,1924 Summer,Rowing Mens Coxless Fours,Bronze
