movieId, tilte,rating, year, duration, genre
3807,El cuervo del campamento,,1914,,
3808,La cueva vengadora,,1914,,Drama
3815,Damaged Goods,7.4,1914,,Drama
3816,Damon and Pythias,5.6,1914,100,Drama
3817,Dan,,1914,,DramaWar
3819,Dance of the Vampire,7.2,1914,,
3820,The Dancer and the King,,1914,,Drama
3822,La danza fatal,,1915,58,
3825,The Daughters of Men,,1914,,Drama
3830,Detective Craigs Coup,,1914,,CrimeDrama
3831,The Detective Queen,,1914,,Drama
3832,La deuda del pasado,,1914,,
3836,Diego Corrientes,,1914,,
3838,The Dishonored Medal,6.2,1914,,Adventure
3840,Doc,,1914,,Western
3854,Dodge City Trail,3.7,1936,56,AdventureMusicWestern
3856,The Dollar Mark,,1914,50,Drama
3859,Dope,,1914,,Drama
3866,Un drama en Aragón,,1914,,
3867,Un drama en la montaña,,1914,,
3870,Judge Not,,1914,57,Drama
3871,The Eagles Mate,,1914,,Drama
3874,La echadora de cartas,,1914,,
3875,The Education of Mr. Pipp,,1914,,Comedy
3878,O Embarque das Tropas Expedicionárias para Angola e Moçambique,,1914,,Documentary
3883,Lenfant de Paris,7.5,1913,124,CrimeDrama
3884,Engelein,6.7,1914,49,Comedy
3886,Enoch Arden,6.4,1914,,Drama
3887,Entre ruinas,,1914,,
3888,The Envoy Extraordinary,,1914,,Drama
3889,Erstarrte Liebe,,1914,,
3890,The Escape,6,1914,60,Drama
3891,Escaped from Siberia,,1914,,Drama
3893,Even Unto Death,,1914,,Drama
3897,The Exploits of Elaine,6.4,1914,,Action
3924,Facing the Gattling Guns,,1914,,Drama
3925,A Factory Magdalen,,1914,,Drama
3929,Fantasma,,1914,,Fantasy
3930,Fantomas: The Mysterious Finger Print,6.9,1914,59,CrimeDrama
3935,The Fatal Night,,1914,,DramaHistory
3938,The Fates and Flora Fourflush,,1914,,Comedy
3951,Fatum,,1915,70,
3952,Fantômas: The False Magistrate,6.9,1914,70,CrimeDrama
3954,La festa del Blat,,1914,,
3955,Fiestas del Coso Blanco en Tarragona,,1914,,Documentary
3957,A Fight for Freedom; Or Exiled to Siberia,,1914,,Drama
3958,The Fight for the Great Black Diamond,,1914,,
3960,Loyalty,5.6,1914,68,
3965,Fire and Sword,6.9,1914,,Adventure
3967,The Perfect Thirty-Six,,1914,,Comedy
3971,The Flooding and Opening of the Panama Canal,,1914,,Documentary
3973,A Florida Enchantment,5.8,1914,63,Comedy
3974,Florida Historic Scenes and Florida in Mid-Winter,,1914,,Documentary
3977,The Folly of Revenge,,1916,50,Drama
3987,Forgiven; Or The Jack of Diamonds,,1914,,Drama
3988,The Fortune Hunter,,1914,,Comedy
3993,The Fringe of War,,1914,,DramaWar
3994,Frou Frou,,1914,,Drama
3996,Miss Soapsuds,6.7,1914,,
3997,La fuerza del mal,,1914,,
3999,För sin kärleks skull,,1914,64,Drama
4000,The Gamblers,,1914,,Drama
4003,Gatans barn,,1914,54,Drama
4004,Heilig recht,,1914,,Drama
4006,A Gentleman from Mississippi,,1914,50,Drama
4009,Das Geschenk des Inders,,1914,,
4013,The Ghost Breaker,5,1914,60,AdventureHorror
4021,La gitanilla,,1914,,
4022,Julius Caesar,6.2,1914,112,DramaHistory
4026,The Golem,6.8,1915,60,Horror
4027,A Good Little Devil,6,1914,50,Drama
4031,The Governors Ghost,,1914,,Drama
4034,Grandes regatas en Barcelona,,1914,,Documentary
4037,The Great Diamond Robbery,,1914,,Drama
