movieId, title,rating, year, duration, genre
0003774,The Circus Man,0,1914,50,Drama
0003779,Cocaine Traffic; Or The Drug Terror,0,1914,,Drama
0003780,The Colosseum in Films,0,1914,,Documentary
0003790,The Coming Power,0,1914,,Drama
0003791,Common Beasts of Africa,0,1914,,Documentary
0003792,The Conspiracy,0,1914,,DramaMystery
0003798,The Country Mouse,0,1914,,Comedy
0003799,The County Chairman,0,1914,,ComedyDrama
0003802,The Criminal Code,0,1914,,Drama
0003804,The Crucible,0,1914,,DramaRomance
0003806,Crushed,0,1914,,
0003807,El cuervo del campamento,0,1914,,
0003808,La cueva vengadora,0,1914,,Drama
0003815,Damaged Goods,0,1914,,Drama
0003816,Damon and Pythias,0,1914,100,Drama
0003817,Dan,0,1914,,DramaWar
0003819,Dance of the Vampire,0,1914,,
0003820,The Dancer and the King,0,1914,,Drama
0003822,La danza fatal,0,1915,58,
0003825,The Daughters of Men,0,1914,,Drama
0003830,Detective Craigs Coup,0,1914,,CrimeDrama
0003831,The Detective Queen,0,1914,,Drama
0003832,La deuda del pasado,0,1914,,
0003836,Diego Corrientes,0,1914,,
0003838,The Dishonored Medal,0,1914,,Adventure
0003840,Doc,0,1914,,Western
0003854,Dodge City Trail,0,1936,56,AdventureMusicWestern
0003856,The Dollar Mark,0,1914,50,Drama
0003859,Dope,0,1914,,Drama
0003866,Un drama en Aragón,0,1914,,
0003867,Un drama en la montaña,0,1914,,
0003870,Judge Not,0,1914,57,Drama
0003871,The Eagles Mate,0,1914,,Drama
0003874,La echadora de cartas,0,1914,,
0003875,The Education of Mr. Pipp,0,1914,,Comedy
0003878,O Embarque das Tropas Expedicionárias para Angola e Moçambique,0,1914,,Documentary
0003883,Lenfant de Paris,0,1913,124,CrimeDrama
0003884,Engelein,0,1914,49,Comedy
0003886,Enoch Arden,0,1914,,Drama
0003887,Entre ruinas,0,1914,,
0003888,The Envoy Extraordinary,0,1914,,Drama
0003889,Erstarrte Liebe,0,1914,,
0003890,The Escape,0,1914,60,Drama
0003891,Escaped from Siberia,0,1914,,Drama
0003893,Even Unto Death,0,1914,,Drama
0003897,The Exploits of Elaine,0,1914,,Action
0003924,Facing the Gattling Guns,0,1914,,Drama
0003925,A Factory Magdalen,0,1914,,Drama
0003929,Fantasma,0,1914,,Fantasy
0003930,Fantomas: The Mysterious Finger Print,0,1914,59,CrimeDrama
0003935,The Fatal Night,0,1914,,DramaHistory
0003938,The Fates and Flora Fourflush,0,1914,,Comedy
0003951,Fatum,0,1915,70,
0003952,Fantômas: The False Magistrate,0,1914,70,CrimeDrama
0003954,La festa del Blat,0,1914,,
0003955,Fiestas del Coso Blanco en Tarragona,0,1914,,Documentary
0003957,A Fight for Freedom; Or Exiled to Siberia,0,1914,,Drama
0003958,The Fight for the Great Black Diamond,0,1914,,
0003960,Loyalty,0,1914,68,
0003965,Fire and Sword,0,1914,,Adventure
0003967,The Perfect Thirty-Six,0,1914,,Comedy
0003971,The Flooding and Opening of the Panama Canal,0,1914,,Documentary
0003973,A Florida Enchantment,0,1914,63,Comedy
0003974,Florida Historic Scenes and Florida in Mid-Winter,0,1914,,Documentary
0003977,The Folly of Revenge,0,1916,50,Drama
0003987,Forgiven; Or The Jack of Diamonds,0,1914,,Drama
0003988,The Fortune Hunter,0,1914,,Comedy
0003993,The Fringe of War,0,1914,,DramaWar
0003994,Frou Frou,0,1914,,Drama
0003996,Miss Soapsuds,0,1914,,
0003997,La fuerza del mal,0,1914,,
0003999,För sin kärleks skull,0,1914,64,Drama
0004000,The Gamblers,0,1914,,Drama
0004003,Gatans barn,0,1914,54,Drama
0004004,Heilig recht,0,1914,,Drama
0004006,A Gentleman from Mississippi,0,1914,50,Drama
0004009,Das Geschenk des Inders,0,1914,,
0004013,The Ghost Breaker,0,1914,60,AdventureHorror
0004021,La gitanilla,0,1914,,
0004022,Julius Caesar,0,1914,112,DramaHistory
0004026,The Golem,0,1915,60,Horror
0004027,A Good Little Devil,0,1914,50,Drama
0004031,The Governors Ghost,0,1914,,Drama
0004034,Grandes regatas en Barcelona,0,1914,,Documentary
0004037,The Great Diamond Robbery,0,1914,,Drama
0004038,The Great Leap: Until Death Do Us Part,0,1914,,DramaRomance
0004043,The Greyhound,0,1914,,CrimeDrama
0004044,Guardian of Virtue,0,1914,,
0004047,Half Breed,0,1913,69,Drama
0004049,Hamlet,0,1914,,Drama
0004052,The Hazards of Helen,0,1914,1428,Action
0004058,Hearts United,0,1914,,Drama
0004061,Hearts and Flowers,0,1914,,Drama
0004063,Hearts of Oak,0,1914,,Drama
0004066,Sealed Orders,0,1914,84,DramaMystery
0004078,Her Luck in London,0,1914,,CrimeDrama
0004095,His Holiness the Late Pope Pius X and the Vatican,0,1914,,Documentary
0004097,His Last Dollar,0,1914,,ComedyDrama
0004099,The New Wizard of Oz,0,1914,59,AdventureComedyFamily
0004112,Hombre o mujer,0,1914,,Comedy
0004114,Homenaje a Lanuza,0,1914,,Documentary
0004118,The Hoosier Schoolmaster,0,1914,,Drama
0004121,Der Hund von Baskerville,0,1914,65,CrimeHorrorMystery
0004125,The House Next Door,0,1914,,Drama
0004126,The House of Bondage,0,1914,,Drama
0004129,How the German General Signed a Pact with the Devil,0,1914,,
0004130,The Human Bloodhound,0,1914,,Drama
0004134,Hypocrites,0,1915,54,Drama
0004136,I kammerherrens klæder,0,1914,,Comedy
0004137,The Idler,0,1914,,
0004138,The Idol of Paris,0,1914,,CrimeDrama
0004140,Ill Starred Babbie,0,1914,,
0004141,Im Schützengraben,0,1914,,
0004142,Imar the Servitor,0,1914,,Drama
0004150,In the Land of the Head Hunters,0,1914,65,DramaHistory
0004152,In the Name of the Prince of Peace,0,1914,,War
0004155,The Indian Wars,0,1914,,HistoryWestern
0004156,Linfirmière,0,1914,,
0004162,La intrusa,0,1914,,Drama
0004163,The Invisible Power,0,1914,,Drama
